province_name,city_name,district_name,lat_long,avg_demand_baseline,demand_target,njop_2021_min,njop_2021_max
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,CENGKARENG,"-6.1548792,106.7204645",153,230,2300,14000
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,GROGOL PETAMBURAN,"-6.1639643,106.7506821",387,581,3700,35000
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,TAMAN SARI,"-6.1461655,106.8106198",114,171,7400,35400
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,TAMBORA,"-6.146188,106.8079118",36,54,4700,35800
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,KEBON JERUK,"-6.1915513,106.7481174",771,1157,7000,20700
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,KALIDERES,"-6.1361454,106.67388",171,257,1500,14100
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,PALMERAH,"-6.1909942,106.7788639",543,815,4100,35000
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,KEMBANGAN,"-6.1911394,106.7062855",327,491,2000,22600
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,CILANDAK,"-6.2898013,106.7553325",717,1076,3375,26343
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,JAGAKARSA,"-6.3304153,106.790444",261,392,1416,19843
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,KEBAYORAN BARU,"-6.2432187,106.7838309",303,455,2640,93963
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,KEBAYORAN LAMA,"-6.2493198,106.745362",1197,1796,3100,32623
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,MAMPANG PRAPATAN,"-6.2502846,106.8045059",381,572,4155,60163
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,PANCORAN,"-6.2579473,106.8261319",540,810,3375,45555
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,PASAR MINGGU,"-6.2579473,106.8261319",336,504,1416,24625
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,PESANGGRAHAN,"-6.2542967,106.7376784",273,410,1573,15105
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,SETIABUDI,"-6.2217767,106.8128794",549,824,4723,95580
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,TEBET,"-6.2217767,106.8128794",426,639,1722,40125
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,CAKUNG,"-6.1854659,106.9010926",366,659,2352,10455
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,CIPAYUNG,"-6.1854659,106.9010926",69,124,1722,5095
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,CIRACAS,"-6.3289253,106.8439555",36,65,2176,6195
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,DUREN SAWIT,"-6.2340223,106.88535",402,724,2925,7455
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,JATINEGARA,"-6.2292747,106.8587079",306,551,2508,22005
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,KRAMAT JATI,"-6.2747497,106.8478344",126,227,2013,17245
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,MAKASSAR,"-6.2708988,106.8621595",99,178,1722,8323
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,MATRAMAN,"-6.2038297,106.844517",261,470,1573,22005
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,PASAR REBO,"-6.3249582,106.8382564",150,270,1862,7623
