,city_name,district_name,avg_demand_baseline,demand_target,lat,long,pred
1,KOTA ADMINISTRASI JAKARTA BARAT,GROGOL PETAMBURAN,387,581,-6.163964,106.750682,4
2,KOTA ADMINISTRASI JAKARTA BARAT,TAMAN SARI,114,171,-6.146166,106.810620,4
3,KOTA ADMINISTRASI JAKARTA BARAT,TAMBORA,36,54,-6.146188,106.807912,4
4,KOTA ADMINISTRASI JAKARTA BARAT,KEBON JERUK,771,1157,-6.191551,106.748117,4
6,KOTA ADMINISTRASI JAKARTA BARAT,PALMERAH,543,815,-6.190994,106.778864,4
5,KOTA ADMINISTRASI JAKARTA BARAT,KALIDERES,171,257,-6.136145,106.673880,2
7,KOTA ADMINISTRASI JAKARTA BARAT,KEMBANGAN,327,491,-6.191139,106.706286,2
0,KOTA ADMINISTRASI JAKARTA BARAT,CENGKARENG,153,230,-6.154879,106.720465,2
40,KOTA ADMINISTRASI JAKARTA PUSAT,SENEN,201,302,-6.184885,106.827930,4
41,KOTA ADMINISTRASI JAKARTA PUSAT,TANAH ABANG,696,1044,-6.205417,106.789955,4
38,KOTA ADMINISTRASI JAKARTA PUSAT,MENTENG,792,1188,-6.195169,106.820647,4
35,KOTA ADMINISTRASI JAKARTA PUSAT,GAMBIR,276,414,-6.171504,106.800000,4
39,KOTA ADMINISTRASI JAKARTA PUSAT,SAWAH BESAR,234,351,-6.155540,106.815155,4
34,KOTA ADMINISTRASI JAKARTA PUSAT,CEMPAKA PUTIH,264,396,-6.181269,106.849564,4
37,KOTA ADMINISTRASI JAKARTA PUSAT,KEMAYORAN,426,639,-6.162770,106.841749,4
36,KOTA ADMINISTRASI JAKARTA PUSAT,JOHAR BARU,129,194,-6.183050,106.845565,4
11,KOTA ADMINISTRASI JAKARTA SELATAN,KEBAYORAN LAMA,1197,1796,-6.249320,106.745362,1
9,KOTA ADMINISTRASI JAKARTA SELATAN,JAGAKARSA,261,392,-6.330415,106.790444,5
16,KOTA ADMINISTRASI JAKARTA SELATAN,SETIABUDI,549,824,-6.221777,106.812879,4
17,KOTA ADMINISTRASI JAKARTA SELATAN,TEBET,426,639,-6.221777,106.812879,4
12,KOTA ADMINISTRASI JAKARTA SELATAN,MAMPANG PRAPATAN,381,572,-6.250285,106.804506,4
15,KOTA ADMINISTRASI JAKARTA SELATAN,PESANGGRAHAN,273,410,-6.254297,106.737678,1
8,KOTA ADMINISTRASI JAKARTA SELATAN,CILANDAK,717,1076,-6.289801,106.755332,1
10,KOTA ADMINISTRASI JAKARTA SELATAN,KEBAYORAN BARU,303,455,-6.243219,106.783831,4
13,KOTA ADMINISTRASI JAKARTA SELATAN,PANCORAN,540,810,-6.257947,106.826132,3
14,KOTA ADMINISTRASI JAKARTA SELATAN,PASAR MINGGU,336,504,-6.257947,106.826132,3
26,KOTA ADMINISTRASI JAKARTA TIMUR,PASAR REBO,150,270,-6.324958,106.838256,5
24,KOTA ADMINISTRASI JAKARTA TIMUR,MAKASSAR,99,178,-6.270899,106.862160,3
20,KOTA ADMINISTRASI JAKARTA TIMUR,CIRACAS,36,65,-6.328925,106.843956,5
21,KOTA ADMINISTRASI JAKARTA TIMUR,DUREN SAWIT,402,724,-6.234022,106.885350,3
22,KOTA ADMINISTRASI JAKARTA TIMUR,JATINEGARA,306,551,-6.229275,106.858708,3
23,KOTA ADMINISTRASI JAKARTA TIMUR,KRAMAT JATI,126,227,-6.274750,106.847834,3
19,KOTA ADMINISTRASI JAKARTA TIMUR,CIPAYUNG,69,124,-6.185466,106.901093,3
27,KOTA ADMINISTRASI JAKARTA TIMUR,PULOGADUNG,102,184,-6.190791,106.874119,3
25,KOTA ADMINISTRASI JAKARTA TIMUR,MATRAMAN,261,470,-6.203830,106.844517,4
18,KOTA ADMINISTRASI JAKARTA TIMUR,CAKUNG,366,659,-6.185466,106.901093,3
29,KOTA ADMINISTRASI JAKARTA UTARA,KELAPA GADING,693,1247,-6.159690,106.883053,4
28,KOTA ADMINISTRASI JAKARTA UTARA,CILINCING,36,65,-6.190791,106.874119,3
32,KOTA ADMINISTRASI JAKARTA UTARA,PENJARINGAN,891,1604,-6.116942,106.690669,2
31,KOTA ADMINISTRASI JAKARTA UTARA,PADEMANGAN,516,929,-6.129193,106.805371,4
33,KOTA ADMINISTRASI JAKARTA UTARA,TANJUNG PRIOK,240,432,-6.127665,106.853155,4
30,KOTA ADMINISTRASI JAKARTA UTARA,KOJA,96,173,-6.120493,106.888725,4
59,KOTA BEKASI,JATIASIH,96,173,-6.310277,106.921573,3
61,KOTA BEKASI,MEDAN SATRIA,162,292,-6.203681,106.965081,3
60,KOTA BEKASI,JATISAMPURNA,60,108,-6.363929,106.925076,5
58,KOTA BEKASI,BEKASI SELATAN,33,59,-6.255394,106.942877,3
57,KOTA BEKASI,BEKASI BARAT,297,535,-6.231754,106.945411,3
62,KOTA BEKASI,PONDOK GEDE,306,551,-6.271745,106.895805,3
66,KOTA DEPOK,LIMO,264,581,-6.366303,106.762101,5
63,KOTA DEPOK,BEJI,378,832,-6.372305,106.783073,5
64,KOTA DEPOK,CIMANGGIS,231,508,-6.372305,106.783073,5
65,KOTA DEPOK,CINERE,495,1089,-6.332401,106.773273,5
67,KOTA DEPOK,SAWANGAN,303,667,-6.397932,106.732942,5
48,KOTA TANGERANG,KARAWACI,417,917,-6.182870,106.600069,2
51,KOTA TANGERANG,TANGERANG,333,733,-6.189613,106.623465,2
45,KOTA TANGERANG,CIPONDOH,165,363,-6.182966,106.647707,2
49,KOTA TANGERANG,LARANGAN,123,271,-6.238229,106.715727,1
43,KOTA TANGERANG,CIBODAS,330,726,-6.203531,106.590971,2
42,KOTA TANGERANG,BATU CEPER,102,224,-6.164672,106.652346,2
46,KOTA TANGERANG,JATIUWUNG,102,224,-6.198745,106.556088,2
50,KOTA TANGERANG,PINANG,198,436,-6.213557,106.627212,2
44,KOTA TANGERANG,CILEDUG,231,508,-6.240094,106.687349,1
47,KOTA TANGERANG,KARANGTENGAH,294,647,-6.209650,106.691199,2
55,KOTA TANGERANG SELATAN,PONDOK AREN,396,871,-6.267233,106.680732,1
56,KOTA TANGERANG SELATAN,SERPONG,501,1102,-6.313927,106.647686,1
53,KOTA TANGERANG SELATAN,CIPUTAT TIMUR,306,673,-6.297884,106.717308,1
52,KOTA TANGERANG SELATAN,CIPUTAT,525,1155,-6.310984,106.689721,1
54,KOTA TANGERANG SELATAN,PAMULANG,264,581,-6.333445,106.704072,1
