,city_name,district_name,avg_demand_baseline,demand_target,lat,long,pred
67,KOTA DEPOK,SAWANGAN,303,667,-6.397932,106.732942,1
26,KOTA ADMINISTRASI JAKARTA TIMUR,PASAR REBO,150,270,-6.324958,106.838256,1
66,KOTA DEPOK,LIMO,264,581,-6.366303,106.762101,1
9,KOTA ADMINISTRASI JAKARTA SELATAN,JAGAKARSA,261,392,-6.330415,106.790444,1
20,KOTA ADMINISTRASI JAKARTA TIMUR,CIRACAS,36,65,-6.328925,106.843956,1
63,KOTA DEPOK,BEJI,378,832,-6.372305,106.783073,1
64,KOTA DEPOK,CIMANGGIS,231,508,-6.372305,106.783073,1
65,KOTA DEPOK,CINERE,495,1089,-6.332401,106.773273,1
60,KOTA BEKASI,JATISAMPURNA,60,108,-6.363929,106.925076,1
41,KOTA ADMINISTRASI JAKARTA PUSAT,TANAH ABANG,696,1044,-6.205417,106.789955,2
40,KOTA ADMINISTRASI JAKARTA PUSAT,SENEN,201,302,-6.184885,106.827930,2
39,KOTA ADMINISTRASI JAKARTA PUSAT,SAWAH BESAR,234,351,-6.155540,106.815155,2
38,KOTA ADMINISTRASI JAKARTA PUSAT,MENTENG,792,1188,-6.195169,106.820647,2
25,KOTA ADMINISTRASI JAKARTA TIMUR,MATRAMAN,261,470,-6.203830,106.844517,2
36,KOTA ADMINISTRASI JAKARTA PUSAT,JOHAR BARU,129,194,-6.183050,106.845565,2
35,KOTA ADMINISTRASI JAKARTA PUSAT,GAMBIR,276,414,-6.171504,106.800000,2
34,KOTA ADMINISTRASI JAKARTA PUSAT,CEMPAKA PUTIH,264,396,-6.181269,106.849564,2
31,KOTA ADMINISTRASI JAKARTA UTARA,PADEMANGAN,516,929,-6.129193,106.805371,2
30,KOTA ADMINISTRASI JAKARTA UTARA,KOJA,96,173,-6.120493,106.888725,2
29,KOTA ADMINISTRASI JAKARTA UTARA,KELAPA GADING,693,1247,-6.159690,106.883053,2
37,KOTA ADMINISTRASI JAKARTA PUSAT,KEMAYORAN,426,639,-6.162770,106.841749,2
33,KOTA ADMINISTRASI JAKARTA UTARA,TANJUNG PRIOK,240,432,-6.127665,106.853155,2
14,KOTA ADMINISTRASI JAKARTA SELATAN,PASAR MINGGU,336,504,-6.257947,106.826132,2
2,KOTA ADMINISTRASI JAKARTA BARAT,TAMAN SARI,114,171,-6.146166,106.810620,2
3,KOTA ADMINISTRASI JAKARTA BARAT,TAMBORA,36,54,-6.146188,106.807912,2
6,KOTA ADMINISTRASI JAKARTA BARAT,PALMERAH,543,815,-6.190994,106.778864,2
17,KOTA ADMINISTRASI JAKARTA SELATAN,TEBET,426,639,-6.221777,106.812879,2
16,KOTA ADMINISTRASI JAKARTA SELATAN,SETIABUDI,549,824,-6.221777,106.812879,2
10,KOTA ADMINISTRASI JAKARTA SELATAN,KEBAYORAN BARU,303,455,-6.243219,106.783831,2
13,KOTA ADMINISTRASI JAKARTA SELATAN,PANCORAN,540,810,-6.257947,106.826132,2
12,KOTA ADMINISTRASI JAKARTA SELATAN,MAMPANG PRAPATAN,381,572,-6.250285,106.804506,2
53,KOTA TANGERANG SELATAN,CIPUTAT TIMUR,306,673,-6.297884,106.717308,3
54,KOTA TANGERANG SELATAN,PAMULANG,264,581,-6.333445,106.704072,3
55,KOTA TANGERANG SELATAN,PONDOK AREN,396,871,-6.267233,106.680732,3
56,KOTA TANGERANG SELATAN,SERPONG,501,1102,-6.313927,106.647686,3
8,KOTA ADMINISTRASI JAKARTA SELATAN,CILANDAK,717,1076,-6.289801,106.755332,3
44,KOTA TANGERANG,CILEDUG,231,508,-6.240094,106.687349,3
52,KOTA TANGERANG SELATAN,CIPUTAT,525,1155,-6.310984,106.689721,3
15,KOTA ADMINISTRASI JAKARTA SELATAN,PESANGGRAHAN,273,410,-6.254297,106.737678,3
11,KOTA ADMINISTRASI JAKARTA SELATAN,KEBAYORAN LAMA,1197,1796,-6.249320,106.745362,3
49,KOTA TANGERANG,LARANGAN,123,271,-6.238229,106.715727,3
57,KOTA BEKASI,BEKASI BARAT,297,535,-6.231754,106.945411,4
58,KOTA BEKASI,BEKASI SELATAN,33,59,-6.255394,106.942877,4
59,KOTA BEKASI,JATIASIH,96,173,-6.310277,106.921573,4
61,KOTA BEKASI,MEDAN SATRIA,162,292,-6.203681,106.965081,4
62,KOTA BEKASI,PONDOK GEDE,306,551,-6.271745,106.895805,4
22,KOTA ADMINISTRASI JAKARTA TIMUR,JATINEGARA,306,551,-6.229275,106.858708,4
21,KOTA ADMINISTRASI JAKARTA TIMUR,DUREN SAWIT,402,724,-6.234022,106.885350,4
23,KOTA ADMINISTRASI JAKARTA TIMUR,KRAMAT JATI,126,227,-6.274750,106.847834,4
28,KOTA ADMINISTRASI JAKARTA UTARA,CILINCING,36,65,-6.190791,106.874119,4
27,KOTA ADMINISTRASI JAKARTA TIMUR,PULOGADUNG,102,184,-6.190791,106.874119,4
24,KOTA ADMINISTRASI JAKARTA TIMUR,MAKASSAR,99,178,-6.270899,106.862160,4
18,KOTA ADMINISTRASI JAKARTA TIMUR,CAKUNG,366,659,-6.185466,106.901093,4
19,KOTA ADMINISTRASI JAKARTA TIMUR,CIPAYUNG,69,124,-6.185466,106.901093,4
48,KOTA TANGERANG,KARAWACI,417,917,-6.182870,106.600069,5
45,KOTA TANGERANG,CIPONDOH,165,363,-6.182966,106.647707,5
50,KOTA TANGERANG,PINANG,198,436,-6.213557,106.627212,5
51,KOTA TANGERANG,TANGERANG,333,733,-6.189613,106.623465,5
43,KOTA TANGERANG,CIBODAS,330,726,-6.203531,106.590971,5
42,KOTA TANGERANG,BATU CEPER,102,224,-6.164672,106.652346,5
46,KOTA TANGERANG,JATIUWUNG,102,224,-6.198745,106.556088,5
47,KOTA TANGERANG,KARANGTENGAH,294,647,-6.209650,106.691199,6
1,KOTA ADMINISTRASI JAKARTA BARAT,GROGOL PETAMBURAN,387,581,-6.163964,106.750682,6
32,KOTA ADMINISTRASI JAKARTA UTARA,PENJARINGAN,891,1604,-6.116942,106.690669,6
7,KOTA ADMINISTRASI JAKARTA BARAT,KEMBANGAN,327,491,-6.191139,106.706286,6
5,KOTA ADMINISTRASI JAKARTA BARAT,KALIDERES,171,257,-6.136145,106.673880,6
4,KOTA ADMINISTRASI JAKARTA BARAT,KEBON JERUK,771,1157,-6.191551,106.748117,6
0,KOTA ADMINISTRASI JAKARTA BARAT,CENGKARENG,153,230,-6.154879,106.720465,6
