,city_name,district_name,avg_demand_baseline,demand_target,lat,long,pred
19,KOTA ADMINISTRASI JAKARTA TIMUR,CIPAYUNG,69,124,-6.185466,106.901093,1
21,KOTA ADMINISTRASI JAKARTA TIMUR,DUREN SAWIT,402,724,-6.234022,106.885350,1
27,KOTA ADMINISTRASI JAKARTA TIMUR,PULOGADUNG,102,184,-6.190791,106.874119,1
18,KOTA ADMINISTRASI JAKARTA TIMUR,CAKUNG,366,659,-6.185466,106.901093,1
62,KOTA BEKASI,PONDOK GEDE,306,551,-6.271745,106.895805,1
...,...,...,...,...,...,...,...
45,KOTA TANGERANG,CIPONDOH,165,363,-6.182966,106.647707,6
46,KOTA TANGERANG,JATIUWUNG,102,224,-6.198745,106.556088,6
48,KOTA TANGERANG,KARAWACI,417,917,-6.182870,106.600069,6
50,KOTA TANGERANG,PINANG,198,436,-6.213557,106.627212,6
51,KOTA TANGERANG,TANGERANG,333,733,-6.189613,106.623465,6
